se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se1034, 12.7521, 14.3908, 17.223, 87.1228, 195.7526, 189.5836, 70.5289, -183.1587, 103.5255,  5.0,  3.0,  1.4,  1.8,  2950,  1743,  58.0, 
se1035, 16.2137, 17.6181, 22.7278, 207.1439, 428.7847, 384.7389, 190.6725, -416.8718, 161.1834,  5.0,  3.0,  1.6,  0.2,  3878,  2575,  124.0, 
se1036, 15.8095, 17.2118, 22.1861, 191.2328, 397.3976, 351.164, 174.9889, -386.0635, 151.3481,  5.0,  3.0,  1.6,  0.4,  4766,  3215,  199.0, 
se1037, 15.2664, 16.6895, 21.3918, 168.7635, 358.0734, 313.8526, 153.2021, -346.8814, 141.0745,  5.0,  3.0,  1.6,  0.6,  2654,  1827,  55.0, 
se1038, 14.79, 16.2091, 20.7057, 152.9695, 324.0284, 283.7448, 138.0259, -313.0154, 130.3202,  5.0,  3.0,  1.6,  0.8,  2926,  1955,  65.0, 
se1039, 14.2904, 15.718, 19.9659, 136.6532, 291.3431, 255.9866, 122.2602, -280.7487, 121.233,  5.0,  3.0,  1.6,  1.0,  2926,  1907,  64.0, 
se1040, 13.8439, 15.2982, 19.3304, 123.4615, 266.0224, 234.8477, 109.6423, -255.7603, 114.7491,  5.0,  3.0,  1.6,  1.2,  5502,  3303,  238.0, 
se1041, 13.3577, 14.8421, 18.5853, 109.2801, 238.7653, 213.6895, 95.8612, -228.7171, 107.9328,  5.0,  3.0,  1.6,  1.4,  5566,  3255,  243.0, 
se1042, 12.8925, 14.4197, 17.8612, 96.5615, 214.7683, 195.9811, 83.4742, -204.9218, 102.6491,  5.0,  3.0,  1.6,  1.6,  5470,  3151,  233.0, 
se1043, 12.4175, 13.9813, 17.0866, 84.1743, 191.0116, 178.8078, 71.3177, -181.37, 96.8409,  5.0,  3.0,  1.6,  1.8,  2918,  1703,  58.0, 
se1044, 15.8658, 17.2653, 22.5763, 199.8884, 424.065, 369.7744, 187.0047, -415.337, 157.561,  5.0,  3.0,  1.8,  0.2,  2870,  2083,  73.0, 
se1045, 15.453, 16.8326, 21.9984, 184.0951, 389.5713, 335.5613, 171.6892, -381.1374, 146.3727,  5.0,  3.0,  1.8,  0.4,  2750,  1971,  64.0, 
se1046, 14.9855, 16.368, 21.3346, 166.8836, 354.9525, 303.5446, 155.0073, -346.5078, 136.3575,  5.0,  3.0,  1.8,  0.6,  2838,  1955,  66.0, 
se1047, 14.4989, 15.8826, 20.6252, 150.0495, 320.7463, 273.6838, 138.5471, -312.5343, 126.2823,  5.0,  3.0,  1.8,  0.8,  2902,  1939,  67.0, 
se1048, 13.9933, 15.385, 19.8653, 133.5857, 287.4603, 246.3119, 122.3934, -279.3831, 116.8311,  5.0,  3.0,  1.8,  1.0,  2926,  1891,  67.0, 
se1049, 13.5057, 14.9144, 19.1336, 118.8244, 258.5554, 223.0782, 108.1283, -250.6846, 109.105,  5.0,  3.0,  1.8,  1.2,  2926,  1835,  69.0, 
se1050, 13.0231, 14.4569, 18.3945, 105.145, 231.9442, 202.6133, 94.7283, -224.2545, 102.3496,  5.0,  3.0,  1.8,  1.4,  2902,  1779,  65.0, 
se1051, 12.5574, 14.0146, 17.6595, 92.9208, 207.4541, 184.6705, 82.7736, -199.9949, 96.0358,  5.0,  3.0,  1.8,  1.6,  2878,  1719,  60.0, 
se1052, 12.1288, 13.6267, 16.9879, 82.3544, 187.4384, 170.4088, 72.4292, -180.0386, 91.5482,  5.0,  3.0,  1.8,  1.8,  2846,  1667,  58.0, 
se1053, 22.2586, 23.0529, 27.9815, 505.5764, 668.229, 776.075, 407.4799, -575.8191, 143.9514,  5.0,  4.0,  0.2,  0.2,  3030,  2235,  71.0, 
se1054, 21.7053, 22.5044, 27.3158, 468.8478, 619.2749, 702.4581, 373.6093, -529.606, 135.0936,  5.0,  4.0,  0.2,  0.4,  3142,  2275,  76.0, 
se1055, 21.0809, 21.8953, 26.5203, 427.7001, 566.4544, 632.0925, 336.0952, -480.2262, 127.4061,  5.0,  4.0,  0.2,  0.6,  3038,  2163,  67.0, 
